#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         424    -7.26473     -7.1897   0.0120411
         425    -7.26282    -7.18987    0.012014
         426    -7.26282    -7.19004    0.011987
         427    -7.26212    -7.19021   0.0119601
         428    -7.26139    -7.19038   0.0119334
         429    -7.26062    -7.19054   0.0119067
         430    -7.25981     -7.1907   0.0118801
         431    -7.25896    -7.19086   0.0118536
         432     -7.2584    -7.19102   0.0118271
         433    -7.25779    -7.19117   0.0118008
         434    -7.25651    -7.19132   0.0117746
         435     -7.2555    -7.19147   0.0117485
         436    -7.25479    -7.19161   0.0117224
         437    -7.25371    -7.19176   0.0116964
         438    -7.25163    -7.19189   0.0116705
         439    -7.25113    -7.19203   0.0116447
         440    -7.24865    -7.19216    0.011619
         441    -7.24743    -7.19228   0.0115933
         442    -7.24618     -7.1924   0.0115677
         443    -7.24489    -7.19252   0.0115422
         444    -7.24293    -7.19264   0.0115168
         445     -7.2419    -7.19275   0.0114914
         446    -7.24051    -7.19285   0.0114662
         447    -7.23877    -7.19296    0.011441
         448    -7.23699    -7.19305   0.0114159
         449    -7.23487    -7.19315   0.0113908
         450    -7.23401    -7.19324   0.0113659
         451    -7.23247    -7.19333    0.011341
         452     -7.2322    -7.19341   0.0113162
         453    -7.22996    -7.19349   0.0112915
         454     -7.2277    -7.19357   0.0112669
         455    -7.22605    -7.19364   0.0112424
         456    -7.22406    -7.19371   0.0112179
         457    -7.22205    -7.19377   0.0111935
         458    -7.22066    -7.19383   0.0111693
         459    -7.21795    -7.19388   0.0111451
         460    -7.21652    -7.19393   0.0111209
         461    -7.21507    -7.19397   0.0110969
         462    -7.21263    -7.19401    0.011073
         463    -7.21082    -7.19405   0.0110491
         464    -7.20867    -7.19408   0.0110253
         465    -7.20715    -7.19411   0.0110017
         466    -7.20497    -7.19413   0.0109781
         467    -7.20309    -7.19415   0.0109546
         468    -7.20089    -7.19417   0.0109312
         469    -7.19964    -7.19418   0.0109079
         470    -7.19838    -7.19419   0.0108847
         471    -7.19647    -7.19419   0.0108616
         472    -7.19423    -7.19419   0.0108386
         473    -7.19231    -7.19419   0.0108156
         474    -7.19039    -7.19418   0.0107928
         475    -7.18879    -7.19417   0.0107701
         476    -7.18653    -7.19415   0.0107475
         477     -7.1846    -7.19413    0.010725
         478    -7.18268    -7.19411   0.0107026
         479    -7.18108    -7.19408   0.0106803
         480    -7.17915    -7.19405   0.0106581
         481    -7.17723    -7.19402    0.010636
         482    -7.17565    -7.19398    0.010614
         483    -7.17342    -7.19394   0.0105921
         484     -7.1712    -7.19389   0.0105703
         485    -7.16932    -7.19384   0.0105486
         486    -7.16712    -7.19378   0.0105271
         487    -7.16623    -7.19373   0.0105056
         488    -7.16439    -7.19367   0.0104842
         489    -7.16256     -7.1936    0.010463
