#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         593    -26.8609    -22.5943   0.0758088
         594    -26.8842    -22.6016   0.0760244
         595    -26.9075    -22.6088   0.0762403
         596     -26.931    -22.6161   0.0764565
         597    -26.9529    -22.6233   0.0766728
         598    -26.9749    -22.6306   0.0768891
         599    -26.9985    -22.6379   0.0771057
         600    -27.0222    -22.6452   0.0773227
         601    -27.0475    -22.6525   0.0775402
         602    -27.0713    -22.6599   0.0777581
         603    -27.0952    -22.6672   0.0779762
         604    -27.1191    -22.6746   0.0781947
         605    -27.1431     -22.682   0.0784135
         606    -27.1688    -22.6894   0.0786329
         607    -27.1929    -22.6968   0.0788526
         608    -27.2171    -22.7042   0.0790726
         609    -27.2429    -22.7117   0.0792932
         610    -27.2658    -22.7191   0.0795139
         611    -27.2902    -22.7266   0.0797349
         612    -27.3147    -22.7341   0.0799563
         613    -27.3392    -22.7416    0.080178
         614    -27.3638    -22.7492   0.0804001
         615    -27.3901    -22.7567   0.0806227
         616    -27.4148    -22.7643   0.0808456
         617    -27.4396    -22.7718    0.081069
         618    -27.4676    -22.7794   0.0812931
         619    -27.4941    -22.7871   0.0815178
         620    -27.5207    -22.7947   0.0817431
         621    -27.5473    -22.8024   0.0819689
         622    -27.5725      -22.81   0.0821951
         623    -27.5977    -22.8177   0.0824216
         624    -27.6246    -22.8254   0.0826488
         625      -27.65    -22.8331   0.0828762
         626    -27.6754    -22.8409    0.083104
         627    -27.7025    -22.8486   0.0833324
         628    -27.7281    -22.8564   0.0835612
         629    -27.7568    -22.8642   0.0837907
         630    -27.7826     -22.872   0.0840207
         631    -27.8084    -22.8798   0.0842509
         632    -27.8358    -22.8877   0.0844818
         633    -27.8618    -22.8955    0.084713
         634    -27.8909    -22.9034    0.084945
         635    -27.9154    -22.9113   0.0851771
         636    -27.9416    -22.9192   0.0854096
         637    -27.9679    -22.9271   0.0856425
         638    -27.9973    -22.9351   0.0858762
         639    -28.0236     -22.943   0.0861102
         640    -28.0501     -22.951   0.0863446
         641    -28.0751     -22.959   0.0865792
         642    -28.1017     -22.967   0.0868141
         643    -28.1284     -22.975   0.0870494
         644    -28.1552    -22.9831   0.0872851
         645     -28.182    -22.9911   0.0875211
         646    -28.2105    -22.9992   0.0877578
         647    -28.2374    -23.0073   0.0879948
         648     -28.266    -23.0154   0.0882324
         649    -28.2932    -23.0236   0.0884704
         650    -28.3204    -23.0317   0.0887088
         651    -28.3492    -23.0399   0.0889478
         652    -28.3766    -23.0481   0.0891872
         653    -28.4024    -23.0563   0.0894267
         654      -28.43    -23.0645   0.0896667
         655    -28.4606    -23.0727   0.0899075
         656    -28.4898     -23.081   0.0901488
         657    -28.5206    -23.0893    0.090391
         658      -28.55    -23.0976   0.0906338
         659    -28.5794    -23.1059   0.0908772
         660    -28.6074    -23.1142    0.091121
         661    -28.6354    -23.1226   0.0913652
         662    -28.6635    -23.1309   0.0916098
         663    -28.6933    -23.1393    0.091855
         664    -28.7215    -23.1477   0.0921005
         665    -28.7514    -23.1562   0.0923467
         666    -28.7814    -23.1646   0.0925935
